hour,count,mean
0,749,847967.4592790387
1,13,2707.153846153846
2,20,2345.6
4,117,1662118.5384615385
5,2752,1158194.1115552327
6,6444,1124728.8569211669
7,5916,1164056.9944219068
8,6431,1246000.108536775
9,6468,1238249.4658317873
10,6103,1224559.6447648697
11,6027,1208694.0736684918
12,7429,1235832.3804011308
13,8674,1174261.197486742
14,7639,1167227.6136928918
15,8511,1097819.2628363294
16,8864,1075078.7012635379
17,8030,1092378.393524284
18,7816,1097208.6719549643
19,4998,1081615.9219687874
20,4712,1156235.3172750424
21,5655,1182872.1987621575
22,4738,1143919.8119459688
23,4296,1040017.1468808193
